episode - 0/1000, reward_per_episode = 0
episode - 335/1000, reward_per_episode = 1672.462120245875
episode - 336/1000, reward_per_episode = 1672.462120245875
episode - 337/1000, reward_per_episode = 1849.1587477739363
episode - 338/1000, reward_per_episode = 1760.0505063388334
episode - 339/1000, reward_per_episode = 1672.462120245875
episode - 340/1000, reward_per_episode = 583.8383516669963
episode - 341/1000, reward_per_episode = -136.37719175276533
episode - 342/1000, reward_per_episode = 3355.0017126271646
episode - 343/1000, reward_per_episode = 1672.462120245875
episode - 344/1000, reward_per_episode = 235.53653510281447
episode - 345/1000, reward_per_episode = 1989.9494936611666
episode - 346/1000, reward_per_episode = 1540.600680994252
episode - 347/1000, reward_per_episode = 1672.462120245875
episode - 348/1000, reward_per_episode = 1672.462120245875
episode - 349/1000, reward_per_episode = 1672.462120245875
episode - 350/1000, reward_per_episode = 1672.462120245875
episode - 351/1000, reward_per_episode = 1796.331383680614
episode - 352/1000, reward_per_episode = 1811.9208001260063
episode - 353/1000, reward_per_episode = 1672.462120245875
episode - 354/1000, reward_per_episode = 1672.462120245875
episode - 355/1000, reward_per_episode = 443.0669352570334
episode - 356/1000, reward_per_episode = 3455.4332619985626
episode - 357/1000, reward_per_episode = 505.99497134942783
episode - 358/1000, reward_per_episode = 1470.1754202244838
episode - 359/1000, reward_per_episode = 1672.462120245875
episode - 360/1000, reward_per_episode = 1110.4092837022145
episode - 361/1000, reward_per_episode = 1672.462120245875
episode - 362/1000, reward_per_episode = 1672.462120245875
episode - 363/1000, reward_per_episode = 1819.9494936611666
episode - 364/1000, reward_per_episode = 1672.462120245875
episode - 365/1000, reward_per_episode = 1672.462120245875
episode - 366/1000, reward_per_episode = 1196.2072120524763
episode - 367/1000, reward_per_episode = 1672.462120245875
episode - 368/1000, reward_per_episode = 1266.3808009771858
episode - 369/1000, reward_per_episode = 1672.462120245875
episode - 370/1000, reward_per_episode = 1672.462120245875
episode - 371/1000, reward_per_episode = 1672.462120245875
episode - 372/1000, reward_per_episode = 1672.462120245875
episode - 373/1000, reward_per_episode = 1672.462120245875
episode - 374/1000, reward_per_episode = 1672.462120245875
episode - 375/1000, reward_per_episode = 1672.462120245875
episode - 376/1000, reward_per_episode = 1672.462120245875
episode - 377/1000, reward_per_episode = 354.5094606916012
episode - 378/1000, reward_per_episode = 1672.462120245875
episode - 379/1000, reward_per_episode = 1672.462120245875
episode - 380/1000, reward_per_episode = 1672.462120245875
episode - 381/1000, reward_per_episode = 1672.462120245875
episode - 382/1000, reward_per_episode = 1672.462120245875
episode - 383/1000, reward_per_episode = 1457.333793631496
episode - 384/1000, reward_per_episode = 1539.1132961921553
episode - 385/1000, reward_per_episode = 668.1535291468908
episode - 386/1000, reward_per_episode = 1672.462120245875
episode - 387/1000, reward_per_episode = 1358.0835790478195
episode - 388/1000, reward_per_episode = 1672.462120245875
episode - 389/1000, reward_per_episode = 1010.4453602516371
episode - 390/1000, reward_per_episode = 2339.7828897844483
episode - 391/1000, reward_per_episode = 1672.462120245875
episode - 392/1000, reward_per_episode = 932.3942180939468
episode - 393/1000, reward_per_episode = 1760.0505063388334
episode - 394/1000, reward_per_episode = 1672.462120245875
episode - 395/1000, reward_per_episode = 1672.462120245875
episode - 396/1000, reward_per_episode = 1672.462120245875
episode - 397/1000, reward_per_episode = 94.36610050984217
episode - 398/1000, reward_per_episode = 1966.6099866511495
episode - 399/1000, reward_per_episode = 1672.462120245875
episode - 400/1000, reward_per_episode = 1672.462120245875
episode - 401/1000, reward_per_episode = 1672.462120245875
episode - 402/1000, reward_per_episode = 1672.462120245875
episode - 403/1000, reward_per_episode = 1672.462120245875
episode - 404/1000, reward_per_episode = 1672.462120245875
episode - 405/1000, reward_per_episode = 1672.462120245875
episode - 406/1000, reward_per_episode = 1672.462120245875
episode - 407/1000, reward_per_episode = 1672.462120245875
episode - 408/1000, reward_per_episode = 1672.462120245875
episode - 409/1000, reward_per_episode = 1611.718774770672
episode - 410/1000, reward_per_episode = 1437.2611482325751
episode - 411/1000, reward_per_episode = 1118.6210453162041
episode - 412/1000, reward_per_episode = 1190.757783994922
episode - 413/1000, reward_per_episode = 1672.462120245875
episode - 414/1000, reward_per_episode = 1672.462120245875
episode - 415/1000, reward_per_episode = 2420.8452984475516
episode - 416/1000, reward_per_episode = 1760.0505063388334
episode - 417/1000, reward_per_episode = 602.5403493691027
episode - 418/1000, reward_per_episode = 1042.462120245875
episode - 419/1000, reward_per_episode = 1672.462120245875
episode - 420/1000, reward_per_episode = 1672.462120245875
episode - 421/1000, reward_per_episode = 1672.462120245875
episode - 422/1000, reward_per_episode = 1672.462120245875
episode - 423/1000, reward_per_episode = 1672.462120245875
episode - 424/1000, reward_per_episode = 1672.462120245875
episode - 425/1000, reward_per_episode = 1672.462120245875
episode - 426/1000, reward_per_episode = 1672.462120245875
episode - 427/1000, reward_per_episode = 1672.462120245875
episode - 428/1000, reward_per_episode = 1672.462120245875
episode - 429/1000, reward_per_episode = 1672.462120245875
episode - 430/1000, reward_per_episode = 1672.462120245875
episode - 431/1000, reward_per_episode = 1672.462120245875
episode - 432/1000, reward_per_episode = 1672.462120245875
episode - 433/1000, reward_per_episode = 1672.462120245875
episode - 434/1000, reward_per_episode = 1672.462120245875
episode - 435/1000, reward_per_episode = 1672.462120245875
episode - 436/1000, reward_per_episode = 2096.490331220194
episode - 437/1000, reward_per_episode = 1672.462120245875
episode - 438/1000, reward_per_episode = 1672.462120245875
episode - 439/1000, reward_per_episode = 1672.462120245875
episode - 440/1000, reward_per_episode = 1661.253118612225
episode - 441/1000, reward_per_episode = 1672.462120245875
episode - 442/1000, reward_per_episode = 1672.462120245875
episode - 443/1000, reward_per_episode = 1672.462120245875
episode - 444/1000, reward_per_episode = 1672.462120245875
episode - 445/1000, reward_per_episode = 1672.462120245875
episode - 446/1000, reward_per_episode = 1672.462120245875
episode - 447/1000, reward_per_episode = 1672.462120245875
episode - 448/1000, reward_per_episode = 1672.462120245875
episode - 449/1000, reward_per_episode = 1677.819775152828
episode - 450/1000, reward_per_episode = 1672.462120245875
episode - 451/1000, reward_per_episode = 1672.462120245875
episode - 452/1000, reward_per_episode = 1672.462120245875
episode - 453/1000, reward_per_episode = 1672.462120245875
episode - 454/1000, reward_per_episode = 1384.3021206053318
episode - 455/1000, reward_per_episode = 1870.3260235673972
episode - 456/1000, reward_per_episode = 1672.462120245875
episode - 457/1000, reward_per_episode = 1672.462120245875
episode - 458/1000, reward_per_episode = 1672.462120245875
episode - 459/1000, reward_per_episode = 1672.462120245875
episode - 460/1000, reward_per_episode = 1290.44716063947
episode - 461/1000, reward_per_episode = 1870.3260235673972
episode - 462/1000, reward_per_episode = 1672.462120245875
episode - 463/1000, reward_per_episode = 1672.462120245875
episode - 464/1000, reward_per_episode = 1672.462120245875
episode - 465/1000, reward_per_episode = 1290.44716063947
episode - 466/1000, reward_per_episode = 1870.3260235673972
episode - 467/1000, reward_per_episode = 1716.1941341994616
episode - 468/1000, reward_per_episode = 1672.462120245875
episode - 469/1000, reward_per_episode = 1790.3260235673972
episode - 470/1000, reward_per_episode = 1672.462120245875
episode - 471/1000, reward_per_episode = 1672.462120245875
episode - 472/1000, reward_per_episode = 1672.462120245875
episode - 473/1000, reward_per_episode = 1672.462120245875
episode - 474/1000, reward_per_episode = 1672.462120245875
episode - 475/1000, reward_per_episode = 1672.462120245875
episode - 476/1000, reward_per_episode = 1672.462120245875
episode - 477/1000, reward_per_episode = 1715.44716063947
episode - 478/1000, reward_per_episode = 1954.2663957773243
episode - 479/1000, reward_per_episode = 1672.462120245875
episode - 480/1000, reward_per_episode = 1290.44716063947
episode - 481/1000, reward_per_episode = 124.44123918558932
episode - 482/1000, reward_per_episode = 1870.3260235673972
episode - 483/1000, reward_per_episode = 1672.462120245875
episode - 484/1000, reward_per_episode = 1672.462120245875
episode - 485/1000, reward_per_episode = 1672.462120245875
episode - 486/1000, reward_per_episode = 1672.462120245875
episode - 487/1000, reward_per_episode = 1290.44716063947
episode - 488/1000, reward_per_episode = 1870.3260235673972
episode - 489/1000, reward_per_episode = 1672.462120245875
episode - 490/1000, reward_per_episode = 1672.462120245875
episode - 491/1000, reward_per_episode = 1672.462120245875
episode - 492/1000, reward_per_episode = 1004.8140014279979
episode - 493/1000, reward_per_episode = 1672.462120245875
episode - 494/1000, reward_per_episode = 1672.462120245875
episode - 495/1000, reward_per_episode = 1672.462120245875
episode - 496/1000, reward_per_episode = 1672.462120245875
episode - 497/1000, reward_per_episode = 1672.462120245875
episode - 498/1000, reward_per_episode = 1621.9134136562586
episode - 499/1000, reward_per_episode = 1672.462120245875
episode - 500/1000, reward_per_episode = 1672.462120245875
episode - 501/1000, reward_per_episode = 1672.462120245875
episode - 502/1000, reward_per_episode = 1672.462120245875
episode - 503/1000, reward_per_episode = 1555.648495649113
episode - 504/1000, reward_per_episode = 1672.462120245875
episode - 505/1000, reward_per_episode = 1672.462120245875
episode - 506/1000, reward_per_episode = 1672.462120245875
episode - 507/1000, reward_per_episode = 1618.3898780412565
episode - 508/1000, reward_per_episode = 1672.462120245875
episode - 509/1000, reward_per_episode = 1672.462120245875
episode - 510/1000, reward_per_episode = 1672.462120245875
episode - 511/1000, reward_per_episode = 1672.462120245875
episode - 512/1000, reward_per_episode = 1672.462120245875
episode - 513/1000, reward_per_episode = 2161.086020251277
episode - 514/1000, reward_per_episode = 1672.462120245875
episode - 515/1000, reward_per_episode = 1308.8037377158278
