episode - 0/10000, accumulative_reward = 0
episode - 409/10000, accumulative_reward = -72621.06042959771
episode - 410/10000, accumulative_reward = -72301.40906267405
episode - 411/10000, accumulative_reward = -72202.72745822728
episode - 412/10000, accumulative_reward = -71980.39402278859
episode - 413/10000, accumulative_reward = -70979.59033484488
episode - 414/10000, accumulative_reward = -69598.64140013994
episode - 415/10000, accumulative_reward = -68204.15736853893
episode - 416/10000, accumulative_reward = -67924.53281808343
episode - 417/10000, accumulative_reward = -68183.06712473357
episode - 418/10000, accumulative_reward = -68347.31930787003
episode - 419/10000, accumulative_reward = -68581.16458718611
episode - 420/10000, accumulative_reward = -66323.66789928611
episode - 421/10000, accumulative_reward = -67328.07119509205
episode - 422/10000, accumulative_reward = -66568.55633128039
episode - 423/10000, accumulative_reward = -68052.65624477477
episode - 424/10000, accumulative_reward = -68269.14186923548
episode - 425/10000, accumulative_reward = -68431.60713074997
episode - 426/10000, accumulative_reward = -68187.14936781411
episode - 427/10000, accumulative_reward = -68561.92519189038
episode - 428/10000, accumulative_reward = -68724.39045340486
episode - 429/10000, accumulative_reward = -67593.41658871269
episode - 430/10000, accumulative_reward = -68026.77105655163
episode - 431/10000, accumulative_reward = -67935.62454085781
episode - 432/10000, accumulative_reward = -67911.06824764312
episode - 433/10000, accumulative_reward = -68073.53350915761
episode - 434/10000, accumulative_reward = -67915.25535014519
episode - 435/10000, accumulative_reward = -68427.54764495666
episode - 436/10000, accumulative_reward = -66474.38533526483
episode - 437/10000, accumulative_reward = -66267.09208498908
episode - 438/10000, accumulative_reward = -67795.78681926048
episode - 439/10000, accumulative_reward = -67370.56264333674
episode - 440/10000, accumulative_reward = -66239.58877864457
episode - 441/10000, accumulative_reward = -67164.86744492997
episode - 442/10000, accumulative_reward = -66470.39344360547
episode - 443/10000, accumulative_reward = -66625.4127048206
episode - 444/10000, accumulative_reward = -66780.72433399655
episode - 445/10000, accumulative_reward = -66989.68378484751
episode - 446/10000, accumulative_reward = -66670.03241792385
episode - 447/10000, accumulative_reward = -65539.05855323168
episode - 448/10000, accumulative_reward = -66292.75088823448
episode - 449/10000, accumulative_reward = -65621.55151568768
episode - 450/10000, accumulative_reward = -66096.32733976394
episode - 451/10000, accumulative_reward = -66258.79260127843
episode - 452/10000, accumulative_reward = -66488.39447643825
episode - 453/10000, accumulative_reward = -64952.461162515174
episode - 454/10000, accumulative_reward = -63394.4224066295
episode - 455/10000, accumulative_reward = -62044.4617099653
episode - 456/10000, accumulative_reward = -59938.264739392114
episode - 457/10000, accumulative_reward = -59677.336221797275
episode - 458/10000, accumulative_reward = -58211.454361869786
episode - 459/10000, accumulative_reward = -56643.10463235086
episode - 460/10000, accumulative_reward = -54919.02515764505
episode - 461/10000, accumulative_reward = -53190.56816225347
episode - 462/10000, accumulative_reward = -52857.262390769334
episode - 463/10000, accumulative_reward = -53247.13156194242
episode - 464/10000, accumulative_reward = -53409.596823456915
episode - 465/10000, accumulative_reward = -53243.760458488076
episode - 466/10000, accumulative_reward = -52554.00212034999
episode - 467/10000, accumulative_reward = -52590.92934642186
episode - 468/10000, accumulative_reward = -52753.39460793635
episode - 469/10000, accumulative_reward = -52827.3912717602
episode - 470/10000, accumulative_reward = -51323.1251911272
episode - 471/10000, accumulative_reward = -50347.810239471684
episode - 472/10000, accumulative_reward = -50510.27550098618
episode - 473/10000, accumulative_reward = -50706.59550348063
episode - 474/10000, accumulative_reward = -48589.453730249625
episode - 475/10000, accumulative_reward = -49022.808198088576
episode - 476/10000, accumulative_reward = -49185.27345960307
episode - 477/10000, accumulative_reward = -49011.420634454116
episode - 478/10000, accumulative_reward = -49209.512775695635
episode - 479/10000, accumulative_reward = -47812.805841747475
episode - 480/10000, accumulative_reward = -49005.68090740984
episode - 481/10000, accumulative_reward = -48434.082823695775
episode - 482/10000, accumulative_reward = -46800.24017943529
episode - 483/10000, accumulative_reward = -45762.30915993774
episode - 484/10000, accumulative_reward = -45726.561343074194
episode - 485/10000, accumulative_reward = -45901.33716715046
episode - 486/10000, accumulative_reward = -46056.35642836559
episode - 487/10000, accumulative_reward = -45015.02722461409
episode - 488/10000, accumulative_reward = -45476.80391991072
episode - 489/10000, accumulative_reward = -45469.67898557309
episode - 490/10000, accumulative_reward = -45437.00880934999
episode - 491/10000, accumulative_reward = -45586.47494208486
episode - 492/10000, accumulative_reward = -45753.80476586176
episode - 493/10000, accumulative_reward = -45973.57993521349
episode - 494/10000, accumulative_reward = -46039.98024217775
episode - 495/10000, accumulative_reward = -46106.380549142006
episode - 496/10000, accumulative_reward = -46124.86458921263
episode - 497/10000, accumulative_reward = -44915.35890040953
episode - 498/10000, accumulative_reward = -45365.26064153062
episode - 499/10000, accumulative_reward = -45485.66923776838
episode - 500/10000, accumulative_reward = -45637.61085834307
