episode - 521/10000, epsilon = 0.009998671593271896
episode - 522/10000, epsilon = 0.009998671593271896
episode - 523/10000, epsilon = 0.009998671593271896
episode - 524/10000, epsilon = 0.009998671593271896
episode - 525/10000, epsilon = 0.009998671593271896
episode - 526/10000, epsilon = 0.009998671593271896
episode - 527/10000, epsilon = 0.009998671593271896
episode - 528/10000, epsilon = 0.009998671593271896
episode - 529/10000, epsilon = 0.009998671593271896
episode - 530/10000, epsilon = 0.009998671593271896
episode - 531/10000, epsilon = 0.009998671593271896
episode - 532/10000, epsilon = 0.009998671593271896
episode - 533/10000, epsilon = 0.009998671593271896
episode - 534/10000, epsilon = 0.009998671593271896
episode - 535/10000, epsilon = 0.009998671593271896
episode - 536/10000, epsilon = 0.009998671593271896
episode - 537/10000, epsilon = 0.009998671593271896
episode - 538/10000, epsilon = 0.009998671593271896
episode - 539/10000, epsilon = 0.009998671593271896
episode - 540/10000, epsilon = 0.009998671593271896
episode - 541/10000, epsilon = 0.009998671593271896
episode - 542/10000, epsilon = 0.009998671593271896
episode - 543/10000, epsilon = 0.009998671593271896
episode - 544/10000, epsilon = 0.009998671593271896
episode - 545/10000, epsilon = 0.009998671593271896
episode - 546/10000, epsilon = 0.009998671593271896
episode - 547/10000, epsilon = 0.009998671593271896
episode - 548/10000, epsilon = 0.009998671593271896
episode - 549/10000, epsilon = 0.009998671593271896
episode - 550/10000, epsilon = 0.009998671593271896
episode - 551/10000, epsilon = 0.009998671593271896
episode - 552/10000, epsilon = 0.009998671593271896
episode - 553/10000, epsilon = 0.009998671593271896
episode - 554/10000, epsilon = 0.009998671593271896
episode - 555/10000, epsilon = 0.009998671593271896
episode - 556/10000, epsilon = 0.009998671593271896
episode - 557/10000, epsilon = 0.009998671593271896
episode - 558/10000, epsilon = 0.009998671593271896
episode - 559/10000, epsilon = 0.009998671593271896
episode - 560/10000, epsilon = 0.009998671593271896
episode - 561/10000, epsilon = 0.009998671593271896
episode - 562/10000, epsilon = 0.009998671593271896
episode - 563/10000, epsilon = 0.009998671593271896
episode - 564/10000, epsilon = 0.009998671593271896
episode - 565/10000, epsilon = 0.009998671593271896
episode - 566/10000, epsilon = 0.009998671593271896
episode - 567/10000, epsilon = 0.009998671593271896
episode - 568/10000, epsilon = 0.009998671593271896
episode - 569/10000, epsilon = 0.009998671593271896
episode - 570/10000, epsilon = 0.009998671593271896
episode - 571/10000, epsilon = 0.009998671593271896
episode - 572/10000, epsilon = 0.009998671593271896
episode - 573/10000, epsilon = 0.009998671593271896
episode - 574/10000, epsilon = 0.009998671593271896
episode - 575/10000, epsilon = 0.009998671593271896
episode - 576/10000, epsilon = 0.009998671593271896
episode - 577/10000, epsilon = 0.009998671593271896
episode - 578/10000, epsilon = 0.009998671593271896
episode - 579/10000, epsilon = 0.009998671593271896
episode - 580/10000, epsilon = 0.009998671593271896
episode - 581/10000, epsilon = 0.009998671593271896
episode - 582/10000, epsilon = 0.009998671593271896
