episode - 0/40000, accumulative_reward = 0
episode - 592/40000, accumulative_reward = 48353.5
episode - 593/40000, accumulative_reward = 48461.0
episode - 594/40000, accumulative_reward = 48568.5
episode - 595/40000, accumulative_reward = 48676.0
episode - 596/40000, accumulative_reward = 48783.5
episode - 597/40000, accumulative_reward = 48891.0
episode - 598/40000, accumulative_reward = 48998.5
episode - 599/40000, accumulative_reward = 49106.0
episode - 600/40000, accumulative_reward = 49213.5
episode - 601/40000, accumulative_reward = 49321.0
episode - 602/40000, accumulative_reward = 49428.5
episode - 603/40000, accumulative_reward = 49536.0
episode - 604/40000, accumulative_reward = 49643.5
episode - 605/40000, accumulative_reward = 49751.0
episode - 606/40000, accumulative_reward = 49865.0
